,category_id,bbox,file_name
0,0,"[47.0, 778.5, 83.17998204667865, 75.6395870736086]",Calc-Training_P_01297_LEFT_MLO.png
1,0,"[1.5, 239.0, 486.31393001345896, 667.2022207267833]",Calc-Training_P_00266_LEFT_MLO.png
2,0,"[366.0, 246.0, 215.51429459291475, 236.39683032939715]",Calc-Training_P_01087_LEFT_CC.png
3,0,"[176.0, 620.0, 60.61278863232681, 57.1158969804618]",Mass-Training_P_00519_RIGHT_MLO.png
4,0,"[274.0, 575.5, 38.67804177962046, 67.14240153085642]",Calc-Training_P_00933_LEFT_MLO.png
5,0,"[0.0, 193.5, 41.45903716216217, 61.63429054054055]",Mass-Training_P_01656_LEFT_MLO.png
6,0,"[23.0, 591.0, 81.58783783783784, 83.36148648648657]",Mass-Training_P_01656_LEFT_MLO.png
7,0,"[292.0, 791.0, 96.22043918918922, 88.68243243243239]",Mass-Training_P_01656_LEFT_MLO.png
8,0,"[67.0, 534.5, 195.36733148194904, 150.83312294875032]",Calc-Training_P_00954_RIGHT_CC.png
9,0,"[193.0, 604.5, 64.29025423728811, 70.07415254237287]",Mass-Training_P_00746_LEFT_MLO.png
10,0,"[89.0, 411.5, 359.5588235294118, 266.51069518716577]",Calc-Training_P_00638_LEFT_CC.png
11,0,"[256.0, 648.5, 99.47829716193658, 80.41527545909844]",Mass-Training_P_01573_RIGHT_MLO.png
12,0,"[229.0, 561.0, 41.31016042780746, 30.28074866310169]",Calc-Training_P_01128_RIGHT_MLO.png
13,0,"[480.0, 715.0, 28.179696616102717, 40.12543757292883]",Calc-Training_P_00162_LEFT_MLO.png
14,0,"[162.0, 509.5, 51.013852640032134, 55.65147560730776]",Mass-Training_P_01070_LEFT_CC.png
15,0,"[78.5, 667.5, 59.27881988708798, 64.25059187761792]",Mass-Training_P_01596_RIGHT_MLO.png
16,0,"[44.0, 429.5, 77.25368785285012, 86.24112183573124]",Mass-Training_P_01596_RIGHT_MLO.png
17,0,"[156.5, 252.5, 133.33058124174377, 174.94220607661822]",Calc-Training_P_00967_RIGHT_MLO.png
18,0,"[170.0, 377.0, 145.35700721610328, 161.30839346752748]",Calc-Training_P_00551_RIGHT_CC.png
19,0,"[168.5, 471.0, 292.63756793478257, 202.7598505434783]",Calc-Training_P_01625_RIGHT_CC.png
20,0,"[225.0, 584.5, 72.61597938144328, 74.4201030927835]",Mass-Training_P_01261_LEFT_MLO.png
21,0,"[46.5, 539.5, 62.72321428571429, 153.7946428571429]",Calc-Training_P_00438_LEFT_CC.png
22,0,"[372.0, 359.5, 108.10145547945206, 117.0911815068493]",Calc-Training_P_00523_RIGHT_MLO.png
23,0,"[148.0, 501.5, 98.05016863406408, 108.45278246205731]",Mass-Training_P_00586_LEFT_CC.png
24,0,"[18.5, 420.5, 137.50267036957916, 175.1869258705405]",Calc-Training_P_02133_LEFT_CC.png
25,0,"[346.0, 435.5, 76.82926829268291, 68.29268292682929]",Mass-Training_P_01788_RIGHT_MLO.png
26,0,"[96.0, 439.5, 212.01923076923077, 220.99358974358972]",Calc-Training_P_00992_RIGHT_MLO.png
27,0,"[168.5, 355.5, 186.62109374999997, 157.68229166666669]",Mass-Training_P_01000_RIGHT_MLO.png
28,0,"[360.5, 405.5, 77.60243089590278, 75.95569496177222]",Calc-Training_P_01549_LEFT_CC.png
29,0,"[53.5, 808.0, 64.96212121212122, 88.16287878787887]",Mass-Training_P_01593_LEFT_MLO.png
30,0,"[39.0, 243.5, 85.69485377465428, 76.17320335524826]",Mass-Training_P_01474_RIGHT_CC.png
31,0,"[313.0, 463.0, 78.61561433447099, 79.06356655290108]",Mass-Training_P_01134_RIGHT_CC.png
32,0,"[15.0, 300.5, 59.96192893401016, 49.74619289340103]",Mass-Training_P_00553_LEFT_CC.png
33,0,"[241.5, 305.5, 176.11040609137052, 197.4302030456853]",Calc-Training_P_00925_RIGHT_MLO.png
34,0,"[190.0, 386.5, 147.96747967479678, 119.8678861788618]",Mass-Training_P_01189_LEFT_MLO.png
35,0,"[64.0, 563.0, 48.52941176470589, 56.14973262032083]",Mass-Training_P_02092_LEFT_CC.png
36,0,"[307.0, 751.0, 50.136196122416266, 40.714629065854865]",Mass-Training_P_00717_RIGHT_MLO.png
37,0,"[152.5, 413.5, 190.41262135922332, 189.68446601941747]",Mass-Training_P_00990_RIGHT_CC.png
38,0,"[98.0, 166.0, 360.1042926239419, 231.23488512696494]",Calc-Training_P_02437_LEFT_CC.png
39,0,"[0.0, 450.0, 62.96452702702703, 71.38935810810813]",Mass-Training_P_01656_LEFT_CC.png
40,0,"[296.5, 587.0, 88.68243243243245, 88.01731418918928]",Mass-Training_P_01656_LEFT_CC.png
41,0,"[286.5, 410.5, 117.4342105263158, 72.89646814404432]",Calc-Training_P_01729_LEFT_MLO.png
42,0,"[176.0, 351.0, 60.165929203539804, 55.05530973451329]",Mass-Training_P_01079_RIGHT_CC.png
43,0,"[103.0, 486.5, 128.76560612162706, 160.90414820781317]",Calc-Training_P_01839_LEFT_MLO.png
44,0,"[425.5, 259.5, 61.296253734773586, 62.50287290278095]",Mass-Training_P_01093_LEFT_CC.png
45,0,"[151.0, 495.0, 77.0071138211382, 81.27540650406502]",Calc-Training_P_00307_LEFT_MLO.png
46,0,"[194.5, 280.0, 174.62542808219175, 134.62114726027397]",Mass-Training_P_00732_LEFT_CC.png
47,0,"[313.0, 563.0, 65.07823613086771, 55.90327169274542]",Mass-Training_P_02033_RIGHT_CC.png
48,0,"[440.5, 346.0, 48.60281569965866, 48.15486348122869]",Mass-Training_P_01606_RIGHT_MLO.png
49,0,"[269.0, 444.0, 116.29746835443039, 112.97468354430379]",Mass-Training_P_01418_RIGHT_MLO.png
50,0,"[353.5, 590.0, 88.48902925531917, 76.27160904255322]",Mass-Training_P_01394_RIGHT_MLO.png
51,0,"[215.0, 549.5, 62.134308510638306, 63.530585106383]",Mass-Training_P_00519_RIGHT_CC.png
52,0,"[275.0, 484.0, 29.407294832826782, 22.112462006079]",Calc-Training_P_01517_LEFT_MLO.png
53,0,"[270.5, 659.5, 26.402321083172183, 33.90120517780099]",Calc-Training_P_00029_LEFT_MLO.png
54,0,"[128.5, 597.5, 39.03872086303218, 40.6569061837796]",Calc-Training_P_00945_RIGHT_CC.png
55,0,"[316.5, 768.0, 31.801470588235304, 37.867647058823536]",Mass-Training_P_00432_LEFT_CC.png
56,0,"[300.5, 580.0, 38.97058823529409, 43.75]",Mass-Training_P_00432_LEFT_CC.png
57,0,"[325.5, 419.5, 32.62966138019715, 43.4312044577797]",Calc-Training_P_00759_LEFT_CC.png
58,0,"[347.0, 500.5, 34.42991855979426, 36.23017573939137]",Calc-Training_P_00759_LEFT_CC.png
59,0,"[105.0, 718.0, 126.31705750080309, 110.80147767426922]",Calc-Training_P_01545_RIGHT_MLO.png
60,0,"[152.5, 825.0, 31.75688691966866, 33.779618570602906]",Mass-Training_P_00661_LEFT_MLO.png
61,0,"[571.0, 295.0, 66.31097560975616, 103.35365853658539]",Mass-Training_P_00634_RIGHT_MLO.png
62,0,"[98.5, 475.0, 127.05559254327564, 101.71438082556585]",Mass-Training_P_00128_LEFT_CC.png
63,0,"[403.0, 569.0, 39.71838026995499, 36.04399266788869]",Mass-Training_P_00023_RIGHT_MLO.png
64,0,"[172.0, 500.5, 41.03360116873631, 33.17202337472605]",Mass-Training_P_00435_RIGHT_MLO.png
65,0,"[272.5, 687.5, 38.4446878422782, 26.12267250821469]",Mass-Training_P_00770_RIGHT_CC.png
66,0,"[10.0, 291.0, 49.21875, 55.59895833333332]",Mass-Training_P_00711_LEFT_CC.png
67,0,"[322.5, 394.0, 28.745755517826808, 69.74745331069613]",Calc-Training_P_00861_RIGHT_CC.png
68,0,"[126.5, 432.0, 68.37787550744248, 68.37787550744247]",Calc-Training_P_00339_LEFT_CC.png
69,0,"[196.0, 514.5, 127.01291302696548, 131.79832890239277]",Calc-Training_P_02380_LEFT_MLO.png
70,0,"[310.5, 479.0, 40.909090909090935, 40.90909090909088]",Calc-Training_P_01756_LEFT_MLO.png
71,0,"[138.5, 450.5, 82.7991258422874, 70.56091786559824]",Calc-Training_P_00251_RIGHT_MLO.png
72,0,"[65.5, 255.0, 150.2525252525252, 139.64646464646466]",Mass-Training_P_00413_LEFT_CC.png
73,0,"[25.0, 329.5, 81.81250000000001, 92.53125]",Mass-Training_P_01084_LEFT_CC.png
74,0,"[147.5, 418.0, 48.140138408304495, 68.80406574394465]",Mass-Training_P_01803_RIGHT_MLO.png
75,0,"[105.0, 472.5, 139.6748310810811, 109.52280405405406]",Mass-Training_P_00363_LEFT_MLO.png
76,0,"[245.5, 469.0, 81.94796954314722, 83.94670050761425]",Mass-Training_P_00891_RIGHT_CC.png
77,0,"[25.0, 297.5, 107.66949152542372, 118.7923728813559]",Mass-Training_P_01671_LEFT_CC.png
78,0,"[370.5, 641.0, 94.7717983651226, 78.49965940054494]",Mass-Training_P_01218_RIGHT_MLO.png
79,0,"[253.0, 492.0, 42.45128391914042, 43.024949918047696]",Mass-Training_P_00023_RIGHT_CC.png
80,0,"[277.0, 503.5, 49.194976654323, 32.289486395105484]",Calc-Training_P_00933_LEFT_CC.png
81,0,"[192.0, 303.0, 52.813025531264344, 37.56306375171994]",Mass-Training_P_00526_RIGHT_CC.png
82,0,"[266.0, 272.5, 130.1224226804124, 106.66881443298968]",Calc-Training_P_00523_RIGHT_CC.png
83,0,"[187.0, 430.0, 46.98291867805423, 41.91422205718527]",Mass-Training_P_00059_LEFT_CC.png
84,0,"[297.0, 340.0, 57.21153846153845, 56.53846153846149]",Mass-Training_P_00148_RIGHT_CC.png
85,0,"[159.0, 348.0, 125.12599577304505, 104.64152170378799]",Calc-Training_P_02232_LEFT_MLO.png
86,0,"[127.5, 438.0, 241.45047169811323, 235.08254716981133]",Mass-Training_P_00695_RIGHT_MLO.png
87,0,"[264.5, 258.5, 53.70331069609506, 50.13794567062814]",Calc-Training_P_00527_RIGHT_MLO.png
88,0,"[244.0, 589.0, 31.474585738223794, 26.7827220256936]",Calc-Training_P_00735_LEFT_CC.png
89,0,"[233.0, 409.5, 101.90641247833625, 85.75606585788563]",Mass-Training_P_01564_RIGHT_MLO.png
90,0,"[349.5, 415.5, 121.25557062584767, 72.42782406510366]",Calc-Training_P_01847_LEFT_CC.png
91,0,"[201.0, 600.5, 42.5456232601299, 42.220847510052636]",Mass-Training_P_00134_LEFT_CC.png
92,0,"[356.0, 395.5, 127.22529812606471, 118.28151618398641]",Calc-Training_P_01091_RIGHT_MLO.png
93,0,"[258.0, 257.5, 60.988767366242996, 57.264262488915165]",Calc-Training_P_01072_LEFT_CC.png
94,0,"[274.0, 448.5, 86.91888045540799, 75.46252371916518]",Mass-Training_P_01753_RIGHT_MLO.png
95,0,"[180.5, 672.0, 163.1610576923077, 86.71875]",Calc-Training_P_00280_LEFT_MLO.png
96,0,"[306.5, 625.5, 35.07372855853146, 32.703882034306275]",Mass-Training_P_00415_RIGHT_MLO.png
97,0,"[327.5, 381.5, 67.375, 56.00000000000001]",Mass-Training_P_00577_RIGHT_CC.png
98,0,"[172.0, 439.0, 78.3426183844011, 76.88022284122565]",Mass-Training_P_01908_LEFT_CC.png
99,0,"[186.0, 781.5, 67.47512437810946, 66.6044776119403]",Mass-Training_P_01591_LEFT_CC.png
100,0,"[220.5, 457.0, 67.60762839879155, 63.04758308157102]",Mass-Training_P_02079_RIGHT_CC.png
101,0,"[94.5, 409.0, 158.49424433717044, 153.8154474563683]",Calc-Training_P_02393_LEFT_MLO.png
102,0,"[12.5, 57.0, 62.84932024169184, 180.22092145015105]",Calc-Training_P_02218_LEFT_CC.png
103,0,"[230.5, 494.5, 97.63504434291855, 91.99140016124699]",Calc-Training_P_01548_LEFT_CC.png
104,0,"[141.5, 438.5, 77.53638698630135, 75.73844178082197]",Calc-Training_P_00667_RIGHT_CC.png
105,0,"[32.5, 380.5, 62.233087208142095, 65.58571143484335]",Calc-Training_P_00049_RIGHT_CC.png
106,0,"[183.5, 827.5, 54.820190641247855, 50.72573656845759]",Mass-Training_P_00217_LEFT_CC.png
107,0,"[96.5, 166.5, 117.9446713702191, 114.82547344968435]",Calc-Training_P_02475_LEFT_CC.png
108,0,"[129.5, 484.5, 66.16548553916874, 58.92549320053632]",Mass-Training_P_02079_RIGHT_MLO.png
109,0,"[160.0, 600.0, 71.32666098807496, 64.17163543441222]",Mass-Training_P_01841_RIGHT_MLO.png
110,0,"[119.5, 455.5, 132.48820754716982, 134.43396226415098]",Mass-Training_P_00568_LEFT_CC.png
111,0,"[102.0, 574.5, 34.636240397650255, 29.89154993221871]",Calc-Training_P_00088_LEFT_CC.png
112,0,"[79.5, 313.0, 272.27903579254934, 233.35463842220605]",Calc-Training_P_01537_RIGHT_CC.png
113,0,"[288.5, 466.0, 38.62684392642507, 40.15661992351124]",Mass-Training_P_00370_RIGHT_MLO.png
114,0,"[5.0, 429.5, 53.48418860064381, 60.64192387805343]",Calc-Training_P_02154_LEFT_CC.png
115,0,"[351.5, 245.0, 37.01923076923072, 51.18927125506076]",Calc-Training_P_00639_RIGHT_MLO.png
116,0,"[118.5, 397.0, 70.28082770270272, 71.16765202702703]",Mass-Training_P_01312_LEFT_CC.png
117,0,"[292.0, 706.0, 65.0252127324299, 57.08320201701861]",Calc-Training_P_01709_RIGHT_MLO.png
118,0,"[24.5, 818.5, 44.73584548380988, 32.01098276841503]",Calc-Training_P_00232_RIGHT_MLO.png
119,0,"[268.0, 270.5, 45.698380566801575, 40.38461538461536]",Mass-Training_P_00328_RIGHT_MLO.png
120,0,"[392.0, 313.5, 34.362348178137665, 40.56174089068821]",Mass-Training_P_00328_RIGHT_MLO.png
121,0,"[333.0, 601.0, 32.38161559888579, 18.38440111420607]",Calc-Training_P_01126_LEFT_MLO.png
122,0,"[102.0, 506.5, 68.63327674023768, 71.30730050933784]",Mass-Training_P_01302_RIGHT_MLO.png
123,0,"[605.0, 325.5, 47.981863442389795, 45.7414651493599]",Mass-Training_P_01350_RIGHT_CC.png
124,0,"[0.0, 365.0, 510.25879566982417, 581.3007442489851]",Calc-Training_P_01359_LEFT_CC.png
125,0,"[251.0, 359.0, 68.64352640545147, 85.41311754684843]",Mass-Training_P_01343_LEFT_MLO.png
126,0,"[307.5, 494.0, 91.45017035775129, 93.68611584327084]",Mass-Training_P_01343_LEFT_MLO.png
